original_accession_n,new_name
RS_GCF_017357405.1_protein,g__KZCA124
RS_GCF_018128925.1_protein,g__Nitrosarchaeum_A
GB_GCA_015521325.1_protein,g__WAOK01
GB_GCA_015523465.1_protein,g__Aeropyrum
GB_GCA_015523565.1_protein,g__WAKA01
GB_GCA_013390375.1_protein,g__Nitrosopelagicus
GB_GCA_015520425.1_protein,g__WAQC01
GB_GCA_015523605.1_protein,g__SZUA-1514
GB_GCA_015523685.1_protein,g__WAJW01
GB_GCA_014874365.1_protein,g__JACWAH01
GB_GCA_902812495.1_protein,g__CADDZR01
GB_GCA_016928095.1_protein,g__JAFGLL01
GB_GCA_016841485.1_protein,g__Methanogenium
GB_GCA_016839555.1_protein,g__TEKIR-8
GB_GCA_016933055.1_protein,g__AMARA-1
GB_GCA_016806715.1_protein,g__B-DKE
GB_GCA_018334795.1_protein,g__EX4572-165
GB_GCA_902827205.1_protein,g__Methanocaldococcus
GB_GCA_018396695.1_protein,g__JAGTQU01
GB_GCA_018819225.1_protein,g__JAHJQN01
GB_GCA_017857195.1_protein,g__Sulfodiicoccus
GB_GCA_018396915.1_protein,g__DTMT01
GB_GCA_018335335.1_protein,g__WJIL01
GB_GCA_019246625.1_protein,g__JAFAQB01
GB_GCA_017656475.1_protein,g__Archaeoglobus
GB_GCA_018262895.1_protein,g__UBA6
GB_GCA_018334755.1_protein,g__Natronoplasma
RS_GCF_024298885.1_protein,g__Haloglomus
RS_GCF_019669925.1_protein,g__Methanobrevibacter_C
RS_GCF_020177375.1_protein,g__Saliphagus
RS_GCF_024296665.1_protein,g__AD-4
RS_GCF_003058365.1_protein,g__Halococcoides
RS_GCF_021233435.1_protein,g__Halobacterium
RS_GCF_023913515.1_protein,g__Natronococcus
RS_GCF_024022995.1_protein,g__Thermococcus_A
RS_GCF_024972755.1_protein,g__Halanaeroarchaeum
RS_GCF_020614395.1_protein,g__Salarchaeum
RS_GCF_024500045.1_protein,g__Methanolobus
RS_GCF_020700235.1_protein,g__Haladaptatus
GB_GCA_023131555.1_protein,g__JAGLZJ01
GB_GCA_944321505.1_protein,g__SIG5
GB_GCA_021817735.1_protein,g__JAKAFX01
GB_GCA_020029475.1_protein,g__EA-19
GB_GCA_020832925.1_protein,g__Ignisphaera
GB_GCA_023131225.1_protein,g__JAGLZW01
GB_GCA_021846395.1_protein,g__JAJZXB01
GB_GCA_021163245.1_protein,g__JAGGXB01
GB_GCA_023544605.1_protein,g__QBUR01
GB_GCA_022865625.1_protein,g__JALHTB01
GB_GCA_020844795.1_protein,g__Methanothrix_A
GB_GCA_021650775.1_protein,g__Benthortus
GB_GCA_023137195.1_protein,g__EX4484-52
GB_GCA_021162685.1_protein,g__JAGGYF01
GB_GCA_020351305.1_protein,g__GCA-020351305
GB_GCA_024275755.1_protein,g__JdFR-43
GB_GCA_021296165.1_protein,g__VYCS01
GB_GCA_021498125.1_protein,g__B65-G9
GB_GCA_023251115.1_protein,g__TA-21
GB_GCA_020854915.1_protein,g__JAHKLT01
GB_GCA_020348445.1_protein,g__GCA-020348445
GB_GCA_023256615.1_protein,g__JAGDXO01
GB_GCA_019704295.1_protein,g__HS-7
GB_GCA_021159125.1_protein,g__VBQP01
GB_GCA_024281315.1_protein,g__JAJSAE01
GB_GCA_023269235.1_protein,g__JAHFTW01
GB_GCA_019561615.1_protein,g__Methanofervidicoccus
GB_GCA_021789945.1_protein,g__JAJYIS01
RS_GCF_000337455.1_protein,g__Halosimplex
RS_GCF_001402945.1_protein,g__Acidiplasma
RS_GCF_000063445.1_protein,g__Methanocella_A
RS_GCF_000025285.1_protein,g__Archaeoglobus_B
RS_GCF_000739575.1_protein,g__Halobellus
RS_GCF_000455345.1_protein,g__Halopiger_A
RS_GCF_000015945.1_protein,g__Staphylothermus
RS_GCF_001412615.1_protein,g__Pyrodictium
GB_GCA_001399795.1_protein,g__BA2
GB_GCA_001421175.1_protein,g__RumEn-M2
GB_GCA_001399805.1_protein,g__BA1
GB_GCA_000496235.1_protein,g__J07HR59
GB_GCA_001563795.1_protein,g__Halohasta
GB_GCA_000402355.1_protein,g__Iainarchaeum
RS_GCF_001719125.1_protein,g__Saccharolobus
RS_GCF_001748385.1_protein,g__Vulcanisaeta_B
GB_GCA_002011165.1_protein,g__JdFR-21
GB_GCA_002011395.1_protein,g__JdFR-45
RS_GCF_900110465.1_protein,g__Halogranum
GB_GCA_002726865.1_protein,g__GCA-2726865
GB_GCA_002497075.1_protein,g__UBA472
GB_GCA_002495315.1_protein,g__UBA141
GB_GCA_002507245.1_protein,g__UBA233
GB_GCA_002503825.1_protein,g__UBA467
GB_GCA_002498845.1_protein,g__UBA509
RS_GCF_003201835.2_protein,g__Acidianus_B
GB_GCA_002898355.1_protein,g__HRBIN01
GB_GCA_002878135.1_protein,g__ARK-15
GB_GCA_003009755.1_protein,g__SW-10-69-26
GB_GCA_003569705.1_protein,g__Nitrosarchaeum
GB_GCA_003650925.1_protein,g__B12-G16
GB_GCA_003650785.1_protein,g__B20-G17
GB_GCA_003555025.1_protein,g__PWHV01
GB_GCA_003601775.1_protein,g__PIYN01
GB_GCA_004376645.1_protein,g__SOJC01
GB_GCA_006954405.1_protein,g__Methanarcanum
RS_GCF_006543045.1_protein,g__Salinadaptatus
RS_GCF_006861655.1_protein,g__Halonotius
RS_GCF_009392895.1_protein,g__Natronorubrum
GB_GCA_902386555.1_protein,g__Bilamarchaeum
GB_GCA_009903825.1_protein,g__WYEN01
GB_GCA_009904015.1_protein,g__WYEQ01
GB_GCA_011048835.1_protein,g__DSDF01
GB_GCA_013154005.1_protein,g__JAADDK01
GB_GCA_011605775.1_protein,g__JAAOZN01
GB_GCA_902795935.1_protein,g__CADBMS01
GB_GCA_903884505.1_protein,g__CAISET01
GB_GCA_013540595.1_protein,g__QNYQ01
GB_GCA_013791785.1_protein,g__UBA147
GB_GCA_013375455.1_protein,g__JABXJT01
GB_GCA_903877165.1_protein,g__CAIRCU01
GB_GCA_013538715.1_protein,g__Nitrosothermus
GB_GCA_013415595.1_protein,g__JAAEEW01
GB_GCA_014523665.1_protein,g__TH5896
GB_GCA_014361295.1_protein,g__JACIVX01
RS_GCF_014876775.1_protein,g__Infirmifilum
RS_GCF_018132105.1_protein,g__Methanocalculus
GB_GCA_015521295.1_protein,g__WAOL01
GB_GCA_016205145.1_protein,g__JACQJH01
GB_GCA_015520475.1_protein,g__WAQA01
GB_GCA_015522625.1_protein,g__Caldisphaera
GB_GCA_016207515.1_protein,g__JACQPN01
GB_GCA_015662475.1_protein,g__SZUA-1443
GB_GCA_015520265.1_protein,g__WAQK01
GB_GCA_015660865.1_protein,g__JACTUA01
GB_GCA_015523445.1_protein,g__S012-22
GB_GCA_015522695.1_protein,g__WALT01
GB_GCA_015063225.1_protein,g__Methanomethylophilus
GB_GCA_015062805.1_protein,g__Methanosphaera
GB_GCA_015521705.1_protein,g__S141-84
GB_GCA_015520115.1_protein,g__Ferroglobus
GB_GCA_015523335.1_protein,g__WAKM01
GB_GCA_016927055.1_protein,g__Methanothrix
GB_GCA_016937345.1_protein,g__Methanomicrobium
GB_GCA_016928155.1_protein,g__JAFGLG01
GB_GCA_016874675.1_protein,g__VGTL01
GB_GCA_016838825.1_protein,g__JAEHKU01
GB_GCA_017857235.1_protein,g__JAFMDN01
GB_GCA_017608575.1_protein,g__JAFCFP01
GB_GCA_017885655.1_protein,g__JAFNFQ01
GB_GCA_018396865.1_protein,g__JAGTRB01
GB_GCA_015661775.1_protein,g__SZUA-1515
GB_GCA_018652685.1_protein,g__RBG-16-57-9
GB_GCA_018897475.1_protein,g__WALD01
GB_GCA_005954745.1_protein,g__Halostella
GB_GCA_019058365.1_protein,g__Loki-b32
GB_GCA_019057795.1_protein,g__SOKP01
GB_GCA_018432765.1_protein,g__SD8
GB_GCA_018396635.1_protein,g__DTEX01
GB_GCA_017610175.1_protein,g__JAFCCZ01
RS_GCF_024498175.1_protein,g__Haloplanus
RS_GCF_019693215.1_protein,g__Salinarchaeum
RS_GCF_024362485.1_protein,g__WLHSJ27
RS_GCF_019880245.1_protein,g__Halobaculum
RS_GCF_020567525.1_protein,g__Halorubellus
RS_GCF_024138145.1_protein,g__Tc-Br11
